dataset_id,un_stats_sdg_goal_code
offre-de-transport-du-reseau-taneo,16
offre-demploi,8
offres-demploi,5
offres-demploi,8
offres-emploi-stage-province-sud,3
offres-emploi-stage-province-sud,4
offres-emploi-stage-province-sud,5
offres-emploi-stage-province-sud,8
offres-emploi-stage-province-sud,10
offres-emploi-stage-province-sud,16
perimetres-de-protection-des-eaux0,6
plages-en-province-nord,13
plages-en-province-nord,14
plan-durbanisme-directeur,11
plateforme-recifale-des-ilots,13
plateforme-recifale-des-ilots,14
pluviometrie,15
politiques-des-peches,2
politiques-des-peches,8
politiques-des-peches,12
politiques-des-peches,14
politiques-des-peches,16
prix-des-produits-alimentaires-en-2014-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2014-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2014-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2015-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2015-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2015-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2016-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2016-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2016-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2017-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2017-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2017-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2018-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2018-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2018-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2019-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2019-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2019-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2020-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2020-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2020-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2021-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2021-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2021-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2022-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2022-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2022-pacific-dataviz-challenge,13
prix-des-produits-alimentaires-en-2023-pacific-dataviz-challenge,2
prix-des-produits-alimentaires-en-2023-pacific-dataviz-challenge,10
prix-des-produits-alimentaires-en-2023-pacific-dataviz-challenge,13
prixnc,16
protection-des-cetaces-tortues-et-requins,13
protection-des-cetaces-tortues-et-requins,14
recensement-de-la-population-2019-individus-nc,3
recensement-de-la-population-2019-individus-nc,4
recensement-de-la-population-2019-individus-nc,5
recensement-de-la-population-2019-individus-nc,10
recensement-de-la-population-2019-individus-nc,11
recensement-de-la-population-2019-individus-nc,16
references-hydrographiques,2
references-hydrographiques,15
referentiel-hydrogeologique-base-de-donnees-des-limites-des-systemes-aquiferes-0,6
referentiel-hydrogeologique-base-de-donnees-des-limites-des-systemes-aquiferes-0,15
rendement-des-impots-depuis-2010,3
rendement-des-impots-depuis-2010,4
rendement-des-impots-depuis-2010,7
rendement-des-impots-depuis-2010,9
rendement-des-impots-depuis-2010,10
reussite_baccalaureat,4
reussite_brevet_par_college,4
reussite_voie_professionnelle,4
reussite_voie_professionnelle,5
reussite_voie_professionnelle,8
reussite_voie_professionnelle,16
saison-administrative-des-feux-de-foret-depuis-2015,13
saison-administrative-des-feux-de-foret-depuis-2015,15
salaire-minimum-garanti-smg-smag,1
salaire-minimum-garanti-smg-smag,8
salaire-minimum-garanti-smg-smag,12
schema-directeur-de-lhydrographie,6
sempex_201912,6
sempex_201912,10
sempex_202001,6
sempex_202001,10
sempex_202002,6
sempex_202002,10
sempex_202003,6
sempex_202003,10
